canonical_label,frequency,n_participants,group_coverage
Reading LLM response aloud,42,5,E:17 / B:25
Performing calculation,19,5,E:12 / B:7
Reading task statement aloud,13,4,E:5 / B:8
Paraphrasing LLM's response,12,1,E:12 / B:0
Deciding to consult LLM,8,6,E:6 / B:2
Expressing uncertainty,8,5,E:6 / B:2
Reading LLM's follow-up question,8,1,E:8 / B:0
Restating problem question,7,2,E:7 / B:0
Restating task question,7,3,E:4 / B:3
Expressing confusion,6,3,E:3 / B:3
Formulating question for LLM,6,3,E:5 / B:1
Reading LLM's CoT aloud,6,1,E:6 / B:0
Restating given information,6,5,E:5 / B:1
Expressing frustration,5,4,E:3 / B:2
Expressing self-doubt,5,4,E:4 / B:1
Formulating clarifying question for LLM,5,4,E:4 / B:1
Identifying given information,5,2,E:2 / B:3
Re-reading LLM's question,5,1,E:5 / B:0
Applying Pythagorean theorem,4,4,E:2 / B:2
Committing to answer,4,3,E:1 / B:3
Formulating LLM query,4,1,E:4 / B:0
Identifying task goal,4,2,E:1 / B:3
Orienting to task figure,4,2,E:1 / B:3
Recalling Pythagorean theorem,4,4,E:2 / B:2
Recording given value,4,1,E:4 / B:0
Requesting method from LLM,4,1,E:4 / B:0
Restating Given Values,4,2,E:1 / B:3
Setting up equation,4,3,E:4 / B:0
restating task definition,4,1,E:0 / B:4
Announcing task reading,3,2,E:0 / B:3
Calculating half-diagonal length,3,1,E:0 / B:3
Confirming final answer,3,3,E:2 / B:1
Deciding to redo calculation,3,2,E:3 / B:0
Describing given figure,3,1,E:3 / B:0
Finalizing answer,3,2,E:1 / B:2
Identifying calculation error,3,2,E:3 / B:0
Marking action completion,3,1,E:0 / B:3
Reading task question aloud,3,2,E:2 / B:1
Recognizing calculation error,3,2,E:1 / B:2
Requesting confirmation from LLM,3,2,E:3 / B:0
Requesting formula from LLM,3,3,E:3 / B:0
Restating problem information,3,1,E:3 / B:0
Signaling cognitive pause,3,1,E:3 / B:0
Stating given information to LLM,3,1,E:3 / B:0
Stating goal to LLM,3,1,E:3 / B:0
placing point on diagram,3,1,E:0 / B:3
"reading lost response aloud (garbled, partial)",3,1,E:0 / B:3
Acknowledging own oversight,2,2,E:1 / B:1
Answering LLM in the negative,2,1,E:2 / B:0
Applying method to own values,2,1,E:2 / B:0
Appraising task difficulty,2,1,E:2 / B:0
Computing half-diagonal values,2,2,E:1 / B:1
Computing squared value,2,2,E:0 / B:2
Confirming answer matches options,2,1,E:2 / B:0
Confirming formula from response,2,2,E:1 / B:1
Constructing auxiliary triangle,2,2,E:2 / B:0
Continuing calculation,2,2,E:2 / B:0
Correcting LLM's assumption,2,2,E:1 / B:1
Deciding to ask LLM for clarification,2,1,E:2 / B:0
Deciding to correct LLM's assumption,2,2,E:2 / B:0
Deciding to inspect LLM's CoT,2,1,E:2 / B:0
Deciding to sketch diagram,2,2,E:1 / B:1
Deciding to verify calculation with LLM,2,1,E:2 / B:0
Deciding to verify recalled formula with LLM,2,1,E:2 / B:0
Deriving circumference formula,2,1,E:2 / B:0
Deriving half-chord length,2,2,E:1 / B:1
Deriving simplified equation,2,1,E:2 / B:0
Dictating formula for message,2,2,E:2 / B:0
Dictating given values for LLM,2,1,E:2 / B:0
Dictating question to LLM while typing,2,2,E:1 / B:1
Evaluating plausibility of result,2,2,E:2 / B:0
Externalizing information via note-taking,2,1,E:2 / B:0
Extracting given information,2,2,E:1 / B:1
Extracting given value,2,1,E:2 / B:0
Formulating equation,2,2,E:2 / B:0
Identifying missing information,2,2,E:2 / B:0
Identifying target value,2,1,E:2 / B:0
Initiating task reading,2,2,E:1 / B:1
Mapping given value onto triangle side,2,1,E:2 / B:0
Mapping known value to diagram,2,1,E:2 / B:0
Orienting to new task,2,1,E:2 / B:0
Performing Pythagorean calculation,2,2,E:1 / B:1
Performing division calculation,2,2,E:1 / B:1
Planning next calculation step,2,2,E:1 / B:1
Re-reading Task Statement for Comprehension,2,1,E:0 / B:2
Re-reading Task Statement to Recall Question,2,1,E:0 / B:2
Re-reading given values,2,2,E:1 / B:1
Reading LLM's follow-up request,2,1,E:2 / B:0
Recalling formula for a,2,1,E:2 / B:0
Rejecting LLM's suggested approach,2,2,E:1 / B:1
Relaying task parameters to LLM,2,1,E:0 / B:2
Reporting formula derivation to LLM,2,1,E:2 / B:0
Reporting need for reading glasses,2,1,E:2 / B:0
Requesting solution approach from LLM,2,2,E:1 / B:1
Restating calculation,2,2,E:2 / B:0
