id,Perceived Usefulness,Perceived Ease of Use,Self-Efficacy,Mental Demand,Performance,Effort,Frustration,group,submitdate,startdate,datestamp,tasks,age,gender_mf,education,UUID
1,6.166666666666667,6.5,5.8,10,5,10,4,E,2025-07-25 18:50:55+02:00,2025-07-25 18:26:03+02:00,2025-07-25 18:50:55+02:00,1,30 - 39,Männlich,Master,f971d5ae-a9ff-4a23-a92b-7650ad697dfc
2,5.333333333333333,5.666666666666667,9.1,3,14,12,12,B,2025-07-29 18:26:34+02:00,2025-07-29 18:18:52+02:00,2025-07-29 18:26:34+02:00,1,20 - 29,Männlich,Allgemeine Hochschulreife (Abitur),7d8c9331-dd8c-4df6-8f6c-9e7a16d008d9
3,4.166666666666667,6.5,9.1,18,1,15,15,B,2025-07-31 12:27:55+02:00,2025-07-31 12:21:54+02:00,2025-07-31 12:27:55+02:00,2,20 - 29,Männlich,Bachelor,fa69270e-20e0-4849-bae1-473de60495a4
4,7.0,6.666666666666667,9.9,2,2,0,0,E,2025-08-01 13:26:23+02:00,2025-08-01 13:18:45+02:00,2025-08-01 13:26:23+02:00,1,20 - 29,Männlich,Allgemeine Hochschulreife (Abitur),8d7e51b5-77bd-4474-8bcb-127fa69cd98c
5,5.5,6.666666666666667,9.8,13,2,15,15,B,2025-08-05 17:20:45+02:00,2025-08-05 17:09:23+02:00,2025-08-05 17:20:45+02:00,1,20 - 29,Männlich,Bachelor,f41a9ecb-7000-4ae1-8b8e-1b39ea598476
7,5.333333333333333,5.166666666666667,8.0,4,4,0,0,E,2025-08-05 18:40:54+02:00,2025-08-05 18:25:54+02:00,2025-08-05 18:40:54+02:00,2,60 - 69,Männlich,Diplom,adbea003-c17e-463f-8ae0-c397f6f3eec1
8,4.833333333333333,6.5,9.5,18,1,17,1,E,2025-08-07 11:42:23+02:00,2025-08-07 11:34:24+02:00,2025-08-07 11:42:23+02:00,2,30 - 39,Männlich,Allgemeine Hochschulreife (Abitur),74463bbb-d158-461a-82f3-a030a108e157
9,6.166666666666667,7.0,9.8,13,7,13,1,E,2025-08-08 11:37:57+02:00,2025-08-08 11:34:45+02:00,2025-08-08 11:37:57+02:00,1,20 - 29,Männlich,Bachelor,c4806f2c-dd6d-425c-a23d-62d29b4a1e5b
10,5.333333333333333,5.166666666666667,5.4,10,7,8,9,E,2025-08-12 12:02:01+02:00,2025-08-12 11:52:21+02:00,2025-08-12 12:02:01+02:00,1,20 - 29,Männlich,Bachelor,dbc1d144-1c2c-42f5-b63c-e84c446a9189
11,6.0,6.0,8.9,15,15,5,15,B,2025-08-12 14:16:25+02:00,2025-08-12 14:08:21+02:00,2025-08-12 14:16:25+02:00,2,40 - 49,Männlich,Mittlere Reife (Realschule),c452fa6e-d3a9-4756-ac68-f9349fb5e059
12,5.333333333333333,5.5,9.9,10,2,10,2,B,2025-08-14 10:35:44+02:00,2025-08-14 10:27:44+02:00,2025-08-14 10:35:44+02:00,2,50 - 59,Männlich,Allgemeine Hochschulreife (Abitur),473ee59a-2809-485a-a7ca-5d2f8f776bca
13,5.166666666666667,6.666666666666667,9.3,15,8,7,4,B,2025-08-14 13:30:40+02:00,2025-08-14 13:24:27+02:00,2025-08-14 13:30:40+02:00,1,20 - 29,Männlich,Bachelor,40c36240-b41c-41fd-8502-160341017569
15,6.5,4.5,9.1,18,1,18,3,E,2025-08-14 15:45:08+02:00,2025-08-14 15:39:56+02:00,2025-08-14 15:45:08+02:00,2,20 - 29,Männlich,Bachelor,de51720a-9929-4aa5-8d89-065b3c052f4c
