id,group,raw_label,in_vivo,canonical_label,pattern_code
01.001.1,E,Initiating task reading,erstmal die Aufgabe lesen,Initiating task reading,planning next solution step
01.001.2,E,Extracting given information,"Radius 5, die Länge des Abschnitts AB ist 8",Extracting given information,extracting given value
01.001.3,E,Identifying the unknown/goal,die Orthogonale ist gesucht,Identifying the unknown/goal,identifying unknown information
01.001.4,E,Restating given information,ein Radius gegeben von 5... die Strecke 8 hat,Restating given information,restating given information
01.001.5,E,Appraising task difficulty,das ist schon mal auf jeden Fall schwer,Appraising task difficulty,assessing task difficulty
01.001.6,E,Announcing image upload to chatbot,ich füge als erstes mal hier das Bild ein,Announcing image upload to LLM,planning LLM message
01.001.7,E,Framing image as baseline context for chatbot,als Grundvoraussetzung dieses Bildchen,Framing image as baseline context for LLM,planning LLM message
01.003.1a,E,Acknowledging chatbot's response (incomplete),"hat erstmal gecheckt, dass ich das...",Acknowledging LLM's response (incomplete),evaluating own solving progress
01.003.1b,E,Initiating self-questioning about requirements,was brauche ich dafür,Initiating self-questioning about requirements,correcting own understanding
01.003.2,E,Appraising task difficulty,eine schwierige Aufgabe auf den ersten Blick,Appraising task difficulty,assessing task difficulty
01.003.3,E,Formulating solution/question strategy,was kann ich denn fragen? Wie kann ich das lösen?,Formulating solution/question strategy,planning LLM message
01.003.4,E,Planning own solution approach,"einen Weg überlegen, der gehen könnte",Planning own solution approach,planning next solution step
01.003.5a,E,Judging own solving capacity as insufficient,nicht im Kopf hin denke ich,Judging own solving capacity as insufficient,reflecting on own capability
01.003.5b,E,Deciding to consult chatbot for guidance,"überlege ich, was ich den Chatbot dazu fragen kann",Deciding to consult LLM for guidance,deciding to ask LLM for guidance
01.003.6,E,Seeking mental representation of problem,Ich brauche hier eine Vorstellung,Seeking mental representation of problem,planning next solution step
01.003.7,E,Restating given information,"den Radius, der ist 5... die Entfernung dazwischen 8",Restating given information,restating given information
01.003.8,E,Proposing trigonometric solution strategy,"mithilfe von Winkeln und dann Cosinus, Sinus",Proposing trigonometric solution strategy,considering solving strategy
01.003.9,E,"Formulating question about angle, not yet finalized",ich habe den zum Beispiel mal,"Formulating question about angle, not yet finalized",formulating LLM message
01.003.10,E,Requesting technical/keyboard assistance (off-task),wo das scharfe S ist,Requesting technical/keyboard assistance (off-task),managing experiment logistics
01.003.11,E,Dictating question to chatbot while typing,wie groß der Winkel zwischen der Strecke A und B... und der Strecke OB,Dictating question to LLM while typing,formulating LLM message
01.004.1,E,Asking chatbot for angle value,wie gross der winkel ywischen der Strecke AB ist und der Strecke OB,Asking LLM for angle value,requesting solution from LLM
01.005.1,E,Anticipating chatbot's helpfulness,Das würde mir nämlich direkt weiterhelfen,Anticipating LLM's helpfulness,anticipating LLM behaviour
01.007.1,E,Reading chatbot response aloud,das können wir zusammen herausfinden,Reading LLM response aloud,Reading LLM response aloud
01.007.2,E,Confirming chatbot's hint as correct,"Stimmt, es ist einfach ein Radius",Confirming LLM's hint as correct,confirming LLM's guidance
01.007.3,E,Reading chatbot response aloud,Welchen Winkel bildet normalerweise ein Radius mit dem Durchmesser,Reading LLM's question,reading LLM's questions
01.007.4,E,Reflecting on own reasoning capability relative to chatbot,Hätte ich auch selber drauf kommen können,Reflecting on own reasoning capability relative to LLM,reflecting on own capability relative to LLM
01.007.5,E,Re-reading chatbot response,Endpunkt des Durchmessers,Re-reading LLM response,reading LLM's restated known information
01.007.6,E,Acknowledging own oversight,jetzt habe ich das gar nicht gesehen,Acknowledging own oversight,acknowledging own error
01.007.7,E,Identifying element in diagram,Das ist der Radius OB,Identifying element in diagram,identifying given information
01.007.8,E,Mapping known value to diagram,"Ich weiß, dass das 8 ist",Mapping known value to diagram,identifying given information
01.007.9,E,Mapping known value to diagram,"Ich weiß, dass das 5 ist",Mapping known value to diagram,identifying given information
01.007.10,E,Deriving geometric relationship (bisection),das halbiert die Strecke AB,Deriving geometric relationship (bisection),deriving from non-given values
01.007.11,E,Computing derived value,dann 4 ist und das ist 5,Computing derived value,extracting given value
01.007.12,E,Planning next calculation step,dass ich dann irgendwie das ausrechnen kann,Planning next calculation step,planning next solution step
01.007.13a,E,Identifying missing information needed (angle),Ich bräuchte irgendwie den Winkel,Identifying missing information,identifying unknown information
01.007.13b,E,Deciding to consult chatbot for guidance,jetzt kann ich den Chatbot,Deciding to consult LLM for guidance,deciding to ask LLM for guidance
01.007.14a,E,Expressing confidence in eventually solving,ich kriege das bestimmt auch,Expressing confidence in eventually solving,expressing confidence
01.007.14b,E,Valuing chatbot assistance,"es ist gut, dass ich jetzt einen Chatbot habe",Valuing LLM assistance,evaluating LLM as helpful
01.007.15a,E,Announcing attempt to formulate question,Ich probiere jetzt mal,Announcing attempt to formulate question,planning LLM message
01.007.15b,E,Restating known values,das 5 ist und das andere ist 4,Restating known values,restating given information
01.007.16a,E,Formulating question (how to obtain the angle),wie kriege ich den Winkel,Formulating question (how to obtain the angle),formulating LLM message
01.007.16b,E,Deciding to consult chatbot for guidance,Ich frage den einfach mal,Deciding to consult LLM for guidance,deciding to ask LLM for guidance
01.007.17,E,Dictating chatbot question — restating givens and triangle setup,ein Dreieck mit zwei bekannten Längen,Dictating LLM question — restating givens and triangle setup,formulating LLM message
01.007.18,E,Dictating chatbot question — reasoning about required third side,muss nur noch die Länge der dritten Seite herausfinden,Dictating LLM question — reasoning about required third side,formulating LLM message
01.009.1,E,Submitting question to chatbot (how to determine the angle),wie kann ich den winkel ywischen OB und AB aus diesen informationen bestimmen,Submitting question to LLM (how to determine the angle),requesting guidance from LLM
01.011.1,E,Reading chatbot response aloud,du bist auf dem richtigen Weg,reading response evaluation aloud,reading LLM's feedback
01.011.2,E,Reading chatbot response aloud,kann direkt mit trigonometrischen Funktionen,Reading LLM guidance,reading LLM's guidance
01.011.3,E,Reading chatbot response aloud,Welche trigonometrische Funktion würdest du verwenden,Reading LLM's question,reading LLM's questions
01.011.4,E,"Beginning own reasoning, building on chatbot's hint",Welche Seite der Ankathete,building on LLM's guidance,building on LLM's guidance
01.011.5,E,Identifying triangle side (hypotenuse),Das eine ist die Hypotenuse OB,Identifying triangle side (hypotenuse),identifying given information
01.011.6,E,Assessing own rusty trigonometry knowledge,Ein bisschen eingerostet hier,Assessing own rusty trigonometry knowledge,reflecting on own capability
01.011.7a,E,Recalling trigonometric formula (cosine),Cosinus ist Ankathete durch Hypotenuse,Recalling trigonometric formula (cosine),recalling math knowledge
01.011.7b,E,Deciding to apply arccosine,ich mache den Arcus Cosinus,Deciding to apply arccosine,deciding next solution step
01.011.8,E,Executing trigonometric calculation,"das ist 0,6435",Executing trigonometric calculation,performing calculation
01.011.9,E,Recognizing unit error (radians vs. degrees),das ist jetzt Bogenmaß gerade,Recognizing unit error (radians vs. degrees),recognizing error (no fault)
01.011.10a,E,Computing angle in degrees,"36,869 Grad",Computing angle in degrees,performing calculation
01.011.10b,E,Evaluating plausibility of result,Sieht doch erstmal logisch aus,Evaluating plausibility of result,evaluating own solving progress
01.011.11,E,Planning next calculation step (tangent),"Tangens 36,89 Grad, mal die Länge",Planning next calculation step (tangent),planning next solution step
01.011.12,E,Restating value for calculation input,die Hälfte von AB ist 4,Restating value for calculation input,restating solution step
01.011.13a,E,Obtaining final result,eine Höhe von 3,Obtaining final result,performing calculation
01.011.13b,E,Attributing helpfulness to chatbot,hat mir der Chatbot auch gut geholfen,Attributing helpfulness to LLM,evaluating LLM response as helpful
01.011.14a,E,Admitting own initial confusion,ein bisschen auf dem Schlauch,Admitting own initial confusion,reflecting on own performance
01.011.14b,E,Reiterating chatbot's helpfulness,hat mir dann gut geholfen,Reiterating LLM's helpfulness,evaluating LLM as helpful
02.004.1,B,Flagging Perceived Missing Translation,Ist aber nicht übersetzt.,Flagging Perceived Missing Translation,recognizing error (no fault)
02.006.1,B,Locating Translated Text,der drunter,Locating Translated Text,managing experiment logistics
02.006.2,B,Clarifying Text Equivalence,das ist der gleiche Text?,Clarifying Text Equivalence,managing experiment logistics
02.008.1,B,Acknowledging Own Oversight,"Ich habe nicht gesehen, dass das der gleiche Text ist.",Acknowledging own oversight,acknowledging own error
02.008.2,B,Reading Task Statement Aloud,"das Verhältnis der Längen der Abschnitte AB zu AC 2, 5",Reading task statement aloud,reading problem statement
02.008.3,B,Reading Task Statement Aloud,"Wenn AC die Länge 25 hat, wie lang ist dann AB?",Reading task statement aloud,reading problem statement
02.008.4,B,Attempting to Interpret Given Ratio,"Wenn AC 2:5, das heißt...",Attempting to Interpret Given Ratio,restating given information
02.008.5,B,Vocalizing Numbers Mid-Calculation,"1, 2, 5.",Vocalizing Numbers Mid-Calculation,performing calculation
02.008.6,B,Commenting on Rusty Calculator Skills,mit dem Taschenrechner umgehen habe ich das schon lange nicht mehr gemacht,Commenting on Rusty Calculator Skills,reflecting on own performance
02.008.7,B,Re-reading Given Values,"Wenn AC die Länge 25 hat, AC ist...",Re-reading given values,reading given information
02.008.8,B,Voicing Confusion About Ratio Meaning,was heißt 2 zu 5?,Voicing Confusion About Ratio Meaning,formulating LLM message
02.008.9,B,Deciding to ask Chatbot for clarification,Fragen wir mal den Chatbot.,Deciding to ask LLM for clarification,deciding to ask LLM for information
02.008.10,B,Asking About Chat Session Procedure,soll ich zuerst noch mal einen neuen Chat anlegen,Asking About Chat Session Procedure,managing experiment logistics
02.010.1,B,Typing Query to Chatbot,was heit das Verhätis 2 zu 5,Typing Query to LLM,formulating LLM message
02.012.1,B,Reading Chatbot Response Aloud,"Das Verhältnis von 2 zu 5 bedeutet, dass die Teile in Bezug auf 5 Teile gesetzt werden.",Reading LLM's restated known information,reading LLM's restated known information
02.012.2,B,Reading Chatbot Response Aloud,die relativ große oder Menge zu Ergrößen auszudrücken,Reading LLM's restated known information,reading LLM's restated known information
02.012.3,B,Reading Chatbot Response Aloud,einen Kuchen in 5 gleich große Stücke schneiden,Reading LLM's restated known information,reading LLM's restated known information
02.012.4,B,Reading Chatbot Response Aloud,das Verhältnis der beiden Stücke zum gesamten Kuchen,Reading LLM's restated known information,reading LLM's restated known information
02.012.5,B,Reading Chatbot Response Aloud,dieses Verhältnis vereinfachen und erweitern,Reading LLM guidance,reading LLM's guidance
02.012.6,B,Reading Chatbot Response Aloud,was ein Verhältnis überhaupt bedeutet,Reading LLM's restated known information,reading LLM's restated known information
02.012.7,B,Comparing Chatbot to ChatGPT,Ganz anders als ChatGPT.,Comparing LLM to ChatGPT,comparing LLM to ChatGPT
02.012.8,B,Resuming Calculation with Given Value,wenn das 25 ist,Resuming Calculation with Given Value,restating given information
02.014.2,B,Expressing Difficulty with Task,wie schwer mir das gerade fällt,Expressing Difficulty with Task,encountering impasse
02.014.3,B,Expressing Frustration/Disbelief,Unglaublich.,Expressing frustration,expressing frustration
02.014.4,B,Restating Given Values,25 ist AC und dann 2 zu 5,Restating Given Values,restating given information
02.014.5,B,Proposing Calculation Approach,25 dann mal 2 Fünftel,Proposing Calculation Approach,considering solving strategy
02.014.6,B,Self-Correcting Ratio Interpretation,2 zu 5 ist ja nicht das gleiche wie 2 Fünftel,Self-Correcting Ratio Interpretation,correcting own solution step
02.014.7,B,Signaling Uncertainty While Continuing,Da habe ich auf jeden Fall noch so im Kopf. Mal gucken.,Signaling Uncertainty While Continuing,hedging previous statement
02.014.8,B,Abandoning Further Analysis,Egal.,Abandoning Further Analysis,rejecting own strategy
02.014.9,B,Asking About Remaining Task Count,wie viele Aufgaben habe ich insgesamt noch mal?,Asking About Remaining Task Count,managing experiment logistics
02.016.1,B,Expressing Surprise at Task Count,Ich habe nur 3?,Expressing Surprise at Task Count,expressing surprise
02.016.2,B,Adjusting Pacing Strategy,lasse ich mir ein bisschen mehr Zeit,Adjusting Pacing Strategy,evaluating own solving progress
02.018.1,B,Reiterating Difficulty Articulating Thoughts,mir fällt das Nachdenken ganz sicher auch schwer,Reiterating Difficulty Articulating Thoughts,reflecting on own performance
02.018.2,B,Re-questioning Ratio Meaning,"2 zu 5, was könnte das heißen?",Re-questioning Ratio Meaning,questioning problem language
02.018.3,B,Reasoning by Analogy to Dice Probability,Mit einem Würfel sind ja die Chancen ein Sechstel.,Reasoning by Analogy to Dice Probability,reasoning by analogy
02.018.4,B,Extending Analogy to Odds Framing,die Chancen stehen dann 1 zu 5,Extending Analogy to Odds Framing,reasoning by analogy
02.018.5,B,Justifying Analogy with Total Outcomes,man hier insgesamt 6 Möglichkeiten hat,Justifying Analogy with Total Outcomes,reasoning by analogy
02.018.6,B,Doubting Applicability of Analogy,ob das hier mit dem Verhältnis gleich gemeint ist,Doubting Applicability of Analogy,evaluating own solving progress
02.018.7,B,Questioning Own Result,Also wir können ja einfach...,Questioning Own Result,questioning oneself
02.018.8,B,Committing to Answer Despite Uncertainty,ich bleibe bei der 10,Committing to answer,Committing to answer
02.018.10,B,Reading Task Statement Aloud,"A, B, C, D, E, F ein regelmäßiges Sechseck mit dem Mittelpunkt O",Reading task statement aloud,reading problem statement
02.018.11,B,Re-reading Task Statement for Comprehension,Regelmäßiges Sechseck mit dem Mittelpunkt O.,Re-reading Task Statement for Comprehension,reading problem statement
02.018.12,B,Reading Task Statement Aloud,Was ist der Wert des Winkels X?,Reading task statement aloud,reading problem statement
02.018.13,B,Requesting Clarification on Diagram Labeling,X ist zwischen hier den beiden oder was soll X sein?,Requesting Clarification on Diagram Labeling,requesting clarification from researcher
02.020.1,B,Confirming Correct Understanding,Dann hatte ich das richtig verstanden.,Confirming Correct Understanding,accpeting LLM's assertions
02.020.2,B,Trailing Off Into Silent Thought,regelmäßiges Sechseck wird da vorne...,Trailing Off Into Silent Thought,restating given information
02.022.2,B,Re-orienting to Task via Key Term Repetition,Regelmäßiges Sechseck.,Re-orienting to Task via Key Term Repetition,restating given information
02.022.4,B,Identifying Shape in Diagram,das Parallelogramm,Identifying Shape in Diagram,identifying given information
02.022.5,B,Deciding to Consult Chatbot for Angle Property,ob es einen festen Winkel für einen regelmäßigen Sechseck gibt,Deciding to Consult LLM for Angle Property,deciding to ask LLM for information
02.022.6,B,Formulating Question for Chatbot,haben alle Ecken in einem regelmäßigen Sechseck den gleichen Winkel?,Formulating question for LLM,formulating LLM message
02.023.1,B,Typing Query to Chatbot,haben alle Ecken in einem regelmäßigen Sechseck den gleichen Winkel?,Typing Query to LLM,formulating LLM message
02.025.1,B,Reading Chatbot Response Aloud,Das ist eine interessante Frage,reading response evaluation aloud,reading LLM's feedback
02.025.2,B,Reading Chatbot Response Aloud,gemeinsam über die Eigenschaften eines regelmäßigen Sechsecks nachdenken,Reading LLM guidance,reading LLM's guidance
02.025.3,B,Reading Chatbot Response Aloud,sechs Seiten und sechs Ecken,Reading LLM's restated known information,reading LLM's restated known information
02.025.4,B,Reading Chatbot Response Aloud,alle Seiten gleich lang sind und alle Winkel gleich groß sind,Reading LLM's restated known information,reading LLM's restated known information
02.025.5,B,Reading Chatbot Response Aloud,Wie viele Grade hat ein Vollkreis?,Reading LLM's question,reading LLM's questions
