UUID,Group,Perceived Usefulness,Perceived Ease of Use,Self-Efficacy,Mental Load,Performance,Effort,Frustration
f971d5ae-a9ff-4a23-a92b-7650ad697dfc,E,0.8611111111111112,0.9166666666666666,0.5333333333333333,0.5,0.25,0.5,0.2
7d8c9331-dd8c-4df6-8f6c-9e7a16d008d9,B,0.7222222222222222,0.7777777777777778,0.8999999999999999,0.15,0.7,0.6,0.6
fa69270e-20e0-4849-bae1-473de60495a4,B,0.5277777777777778,0.9166666666666666,0.8999999999999999,0.9,0.05,0.75,0.75
8d7e51b5-77bd-4474-8bcb-127fa69cd98c,E,1.0,0.9444444444444445,0.9888888888888889,0.1,0.1,0.0,0.0
f41a9ecb-7000-4ae1-8b8e-1b39ea598476,B,0.75,0.9444444444444445,0.9777777777777779,0.65,0.1,0.75,0.75
adbea003-c17e-463f-8ae0-c397f6f3eec1,E,0.7222222222222222,0.6944444444444445,0.7777777777777778,0.2,0.2,0.0,0.0
74463bbb-d158-461a-82f3-a030a108e157,E,0.6388888888888888,0.9166666666666666,0.9444444444444444,0.9,0.05,0.85,0.05
c4806f2c-dd6d-425c-a23d-62d29b4a1e5b,E,0.8611111111111112,1.0,0.9777777777777779,0.65,0.35,0.65,0.05
dbc1d144-1c2c-42f5-b63c-e84c446a9189,E,0.7222222222222222,0.6944444444444445,0.48888888888888893,0.5,0.35,0.4,0.45
c452fa6e-d3a9-4756-ac68-f9349fb5e059,B,0.8333333333333334,0.8333333333333334,0.8777777777777778,0.75,0.75,0.25,0.75
473ee59a-2809-485a-a7ca-5d2f8f776bca,B,0.7222222222222222,0.75,0.9888888888888889,0.5,0.1,0.5,0.1
40c36240-b41c-41fd-8502-160341017569,B,0.6944444444444445,0.9444444444444445,0.9222222222222223,0.75,0.4,0.35,0.2
de51720a-9929-4aa5-8d89-065b3c052f4c,E,0.9166666666666666,0.5833333333333334,0.8999999999999999,0.9,0.05,0.9,0.15
