raw_label,frequency,n_participants,group_coverage,lead_verb,n_in_cluster
Restating problem question,7,2,E:7 / B:0,restating,67
Restating given information,5,4,E:5 / B:0,restating,67
Restating task question,4,2,E:3 / B:1,restating,67
restating task definition,4,1,E:0 / B:4,restating,67
Restating Given Values,3,1,E:0 / B:3,restating,67
Restating problem information,3,1,E:3 / B:0,restating,67
Restating given ratio,2,2,E:1 / B:1,restating,67
Restating sub-goal,2,1,E:2 / B:0,restating,67
restating LLM's guidance,2,2,E:2 / B:0,restating,67
restating task question,2,1,E:0 / B:2,restating,67
Restating LLM clarification on diagonal inequality,1,1,E:1 / B:0,restating,67
Restating LLM confirmation of edge equality,1,1,E:1 / B:0,restating,67
Restating LLM response and admitting formula unfamiliarity,1,1,E:1 / B:0,restating,67
Restating LLM-provided information,1,1,E:1 / B:0,restating,67
Restating bound for b with increased confidence,1,1,E:1 / B:0,restating,67
Restating bounds for a with simplification,1,1,E:1 / B:0,restating,67
Restating bounds for b,1,1,E:1 / B:0,restating,67
Restating calculation,1,1,E:1 / B:0,restating,67
Restating calculation method,1,1,E:1 / B:0,restating,67
Restating computed equation,1,1,E:1 / B:0,restating,67
Restating corrected expression,1,1,E:1 / B:0,restating,67
Restating derived bound for x for emphasis,1,1,E:1 / B:0,restating,67
Restating derived expression,1,1,E:1 / B:0,restating,67
Restating equation,1,1,E:1 / B:0,restating,67
Restating equation with typo,1,1,E:1 / B:0,restating,67
Restating given length and computing half,1,1,E:1 / B:0,restating,67
Restating given point definition,1,1,E:1 / B:0,restating,67
Restating given value from problem figure,1,1,E:1 / B:0,restating,67
Restating given values and goal,1,1,E:1 / B:0,restating,67
Restating hypothesized answer prior to full verification,1,1,E:0 / B:1,restating,67
Restating intended request to chatbot,1,1,E:1 / B:0,restating,67
Restating known quantity,1,1,E:1 / B:0,restating,67
Restating known values,1,1,E:1 / B:0,restating,67
Restating known versus unknown values,1,1,E:0 / B:1,restating,67
Restating original equations,1,1,E:1 / B:0,restating,67
Restating point definitions,1,1,E:1 / B:0,restating,67
Restating problem goal,1,1,E:1 / B:0,restating,67
Restating problem parameters,1,1,E:1 / B:0,restating,67
Restating problem statement,1,1,E:1 / B:0,restating,67
Restating ratio conclusion,1,1,E:1 / B:0,restating,67
Restating sub-question,1,1,E:1 / B:0,restating,67
Restating target unknown,1,1,E:1 / B:0,restating,67
Restating target variable,1,1,E:1 / B:0,restating,67
Restating task question and given ratio,1,1,E:1 / B:0,restating,67
Restating total parts,1,1,E:1 / B:0,restating,67
Restating value for calculation input,1,1,E:1 / B:0,restating,67
restating LLM question,1,1,E:1 / B:0,restating,67
restating LLM's instruction,1,1,E:0 / B:1,restating,67
restating algebra step,1,1,E:0 / B:1,restating,67
restating algebraic manipulation logic,1,1,E:0 / B:1,restating,67
restating derived relation,1,1,E:0 / B:1,restating,67
restating distance relation,1,1,E:0 / B:1,restating,67
restating equation from response,1,1,E:0 / B:1,restating,67
restating figure values,1,1,E:0 / B:1,restating,67
