pattern_code,frequency,n_participants,group_coverage
performing calculation,80,12,E:49 / B:31
restating given information,74,12,E:45 / B:29
managing experiment logistics,62,11,E:26 / B:36
formulating LLM message,50,11,E:34 / B:16
restating LLM's guidance,42,8,E:31 / B:11
planning next solution step,41,11,E:28 / B:13
extracting given value,36,11,E:16 / B:20
identifying unknown information,36,11,E:23 / B:13
taking notes,32,7,E:19 / B:13
deciding next solution step,31,10,E:20 / B:11
restating problem goal,30,9,E:21 / B:9
restating solution step,30,8,E:20 / B:10
reading LLM's restated known information,29,6,E:11 / B:18
recognizing own error,29,12,E:18 / B:11
setting up equation,29,9,E:26 / B:3
identifying given information,28,10,E:19 / B:9
deriving from non-given values,27,7,E:18 / B:9
reading LLM's guidance,27,5,E:20 / B:7
verifying solution,27,9,E:17 / B:10
submitting information to LLM,25,5,E:18 / B:7
evaluating own solving progress,24,9,E:13 / B:11
reading problem statement,23,6,E:9 / B:14
requesting guidance from LLM,22,8,E:16 / B:6
rearranging equation,21,2,E:21 / B:0
reading LLM's questions,20,4,E:18 / B:2
expressing uncertainty,19,8,E:12 / B:7
requesting verification by LLM,19,8,E:14 / B:5
reflecting on own performance,18,8,E:8 / B:10
considering solving strategy,16,9,E:8 / B:8
correcting own understanding,15,7,E:8 / B:7
deciding to ask LLM for guidance,15,8,E:8 / B:7
recalling math knowledge,15,7,E:12 / B:3
correcting own solution step,14,8,E:10 / B:4
reaffirming own hypothesis,14,7,E:11 / B:3
building on LLM's guidance,13,9,E:9 / B:4
questioning oneself,13,7,E:5 / B:8
reading given information,13,8,E:9 / B:4
scrutinizing LLM response,13,4,E:5 / B:8
deciding to ask LLM for information,12,5,E:7 / B:5
deciding to ask LLM for verification,12,5,E:9 / B:3
encountering impasse,12,6,E:6 / B:6
stating information to LLM,12,3,E:9 / B:3
confirming LLM's guidance,11,7,E:3 / B:8
planning LLM message,11,5,E:7 / B:4
recognizing solution step,11,6,E:8 / B:3
requesting information from LLM,11,8,E:7 / B:4
evaluating LLM response as unhelpful,10,5,E:4 / B:6
forming own hypothesis,9,4,E:9 / B:0
accpeting LLM's assertions,8,5,E:1 / B:7
assuming mathematical property,8,5,E:7 / B:1
expressing doubt,8,4,E:5 / B:3
expressing frustration,8,4,E:4 / B:4
identifying own knowledge gap,8,4,E:4 / B:4
identifying solution step,8,6,E:4 / B:4
requesting clarification from LLM,8,5,E:7 / B:1
verifying own progress,8,7,E:4 / B:4
assessing task difficulty,7,3,E:2 / B:5
reading LLM's CoT,7,2,E:7 / B:0
anticipating LLM behaviour,6,5,E:2 / B:4
deciding to use calculator,6,5,E:3 / B:3
evaluating LLM response as helpful,6,6,E:3 / B:3
explaining rationale to LLM,6,1,E:6 / B:0
expressing confidence,6,3,E:2 / B:4
questioning LLM output,6,4,E:2 / B:4
reasoning by analogy,6,2,E:3 / B:3
recognizing error (no fault),6,6,E:2 / B:4
requesting solution from LLM,6,5,E:3 / B:3
Deciding to update the LLM information,5,2,E:5 / B:0
Deciding to verify LLM output,5,3,E:2 / B:3
comitting to answer,5,3,E:2 / B:3
committing to answer,5,4,E:2 / B:3
confirming given information,5,3,E:2 / B:3
considering querying LLM,5,4,E:2 / B:3
expressing insight,5,3,E:2 / B:3
identifying problem solvability,5,3,E:1 / B:4
noting given information,5,2,E:3 / B:2
reflecting on own capability,5,4,E:3 / B:2
Referencing LLM's CoT,4,3,E:3 / B:1
correcting own terminology,4,3,E:2 / B:2
deciding to follow LLM guidance,4,2,E:2 / B:2
disclosing own limitations to LLM,4,2,E:1 / B:3
hedging previous statement,4,3,E:1 / B:3
questioning problem language,4,2,E:0 / B:4
reading LLM's feedback,4,4,E:2 / B:2
recalling own prior work,4,2,E:4 / B:0
rejecting own strategy,4,4,E:2 / B:2
self-justifying,4,2,E:0 / B:4
attributing LLM's confusion to own action,3,2,E:3 / B:0
attributing capability to LLM,3,3,E:2 / B:1
expressing satisfaction,3,2,E:0 / B:3
expressing surprise,3,2,E:0 / B:3
identifying LLM as information source,3,2,E:1 / B:2
reading lost LLM response aloud,3,1,E:0 / B:3
recalling earlier LLM feedback,3,1,E:0 / B:3
rejecting LLM's guidance,3,3,E:1 / B:2
reviewing own notes,3,1,E:3 / B:0
Deciding to share image with LLM,2,2,E:1 / B:1
Following LLM guidance,2,2,E:1 / B:1
Reading LLM response aloud,2,2,E:1 / B:1
comparing LLM to ChatGPT,2,2,E:0 / B:2
correcting the LLM,2,2,E:1 / B:1
criticizing the LLM,2,2,E:1 / B:1
deciding to solve without LLM,2,2,E:2 / B:0
evaluating LLM as helpful,2,1,E:2 / B:0
explaining value of externalizing work,2,2,E:1 / B:1
recounting LLM's earlier response,2,1,E:2 / B:0
reflecting on offloading choice,2,2,E:0 / B:2
reflecting on own capability relative to LLM,2,2,E:2 / B:0
requesting clarification from researcher,2,1,E:0 / B:2
reusing previous message content,2,1,E:2 / B:0
Judging LLM's statement as incorrect,1,1,E:1 / B:0
Recognizing handwriting-induced transcription error,1,1,E:1 / B:0
deciding to ask LLM for solution,1,1,E:1 / B:0
observing LLM as stuck,1,1,E:1 / B:0
recognizing LLM error,1,1,E:1 / B:0
restating calculator result,1,1,E:1 / B:0
