"id","submitdate","lastpage","startlanguage","seed","token","startdate","datestamp","refurl","group","tasks","UUID","age","gender_mf","gender_other","education","usefulness[SQ001]","usefulness[SQ002]","usefulness[SQ003]","usefulness[SQ004]","usefulness[SQ005]","usefulness[SQ006]","ease_of_use[SQ001]","ease_of_use[SQ002]","ease_of_use[SQ003]","ease_of_use[SQ004]","ease_of_use[SQ005]","ease_of_use[SQ006]","self_efficacy[SQ001]","self_efficacy[SQ002]","self_efficacy[SQ003]","self_efficacy[SQ004]","self_efficacy[SQ005]","self_efficacy[SQ006]","self_efficacy[SQ007]","self_efficacy[SQ008]","self_efficacy[SQ009]","self_efficacy[SQ010]","load[SQ001]","load[SQ002]","load[SQ003]","load[SQ004]","load[SQ005]","load[SQ006]"
1,"2025-07-25T18:50:55+0200",4,"de","159867567","xkjQ4dbicnzs9ef","2025-07-25T18:26:03+0200","2025-07-25T18:50:55+0200","https://umfragen.tu-dortmund.de/index.php/surveyAdministration/view?surveyid=734375","E",1,"f971d5ae-a9ff-4a23-a92b-7650ad697dfc","30 - 39","Männlich","","Master",7,5,6,6,6,7,7,7,7,6,6,6,10,7,4,2,6,8,3,1,8,9,10,1,3,15,10,4
2,"2025-07-29T18:26:34+0200",4,"de","1034669575","mVBCfdfYMbzEavs","2025-07-29T18:18:52+0200","2025-07-29T18:26:34+0200","https://umfragen.tu-dortmund.de/index.php/questionAdministration/view?surveyid=734375&gid=87443&qid=1200090","B",1,"7d8c9331-dd8c-4df6-8f6c-9e7a16d008d9","20 - 29","Männlich","","Allgemeine Hochschulreife (Abitur)",2,2,7,7,7,7,7,3,7,3,7,7,10,8,9,9,10,9,9,9,9,9,3,8,0,6,12,12
3,"2025-07-31T12:27:55+0200",4,"de","71885847","m8QT2v8pSaHUaoq","2025-07-31T12:21:54+0200","2025-07-31T12:27:55+0200","https://umfragen.tu-dortmund.de/index.php/surveyAdministration/view?surveyid=734375","B",2,"fa69270e-20e0-4849-bae1-473de60495a4","20 - 29","Männlich","","Bachelor",7,2,4,4,4,4,7,6,6,6,7,7,9,7,10,9,10,9,9,9,9,10,18,8,0,19,15,15
4,"2025-08-01T13:26:23+0200",4,"de","1550587166","9qfstMPZFMbQjX1","2025-08-01T13:18:45+0200","2025-08-01T13:26:23+0200","https://umfragen.tu-dortmund.de/index.php/surveyAdministration/view?iSurveyID=734375","E",1,"8d7e51b5-77bd-4474-8bcb-127fa69cd98c","20 - 29","Männlich","","Allgemeine Hochschulreife (Abitur)",7,7,7,7,7,7,7,6,7,6,7,7,10,10,10,10,10,10,10,9,10,10,2,0,0,18,0,0
5,"2025-08-05T17:20:45+0200",4,"de","415177057","28gLY1CCRNAOsao","2025-08-05T17:09:23+0200","2025-08-05T17:20:45+0200","https://umfragen.tu-dortmund.de/index.php/surveyAdministration/view?surveyid=734375","B",1,"f41a9ecb-7000-4ae1-8b8e-1b39ea598476","20 - 29","Männlich","","Bachelor",6,5,5,5,6,6,7,7,7,5,7,7,10,8,10,10,10,10,10,10,10,10,13,2,6,18,15,15
7,"2025-08-05T18:40:54+0200",4,"de","628145643","U1KqFJovageAsMW","2025-08-05T18:25:54+0200","2025-08-05T18:40:54+0200","https://umfragen.tu-dortmund.de/index.php/surveyAdministration/view?surveyid=734375","E",2,"adbea003-c17e-463f-8ae0-c397f6f3eec1","60 - 69","Männlich","","Diplom",4,4,6,6,6,6,7,4,4,4,6,6,9,8,10,10,10,10,2,9,10,2,4,0,0,16,0,0
8,"2025-08-07T11:42:23+0200",4,"de","1519955510","uKeYkZAjkig5iry","2025-08-07T11:34:24+0200","2025-08-07T11:42:23+0200","https://umfragen.tu-dortmund.de/index.php/surveyAdministration/view?surveyid=734375","E",2,"74463bbb-d158-461a-82f3-a030a108e157","30 - 39","Männlich","","Allgemeine Hochschulreife (Abitur)",5,2,6,4,6,6,7,6,6,7,6,7,10,9,10,10,10,9,10,7,10,10,18,2,0,19,17,1
9,"2025-08-08T11:37:57+0200",4,"de","366923791","gwzrV5dglop6zs7","2025-08-08T11:34:45+0200","2025-08-08T11:37:57+0200","https://umfragen.tu-dortmund.de/index.php/surveyAdministration/view?surveyid=734375","E",1,"c4806f2c-dd6d-425c-a23d-62d29b4a1e5b","20 - 29","Männlich","","Bachelor",7,5,6,6,7,6,7,7,7,7,7,7,10,9,10,10,10,10,10,9,10,10,13,0,0,13,13,1
10,"2025-08-12T12:02:01+0200",4,"de","535119036","gnDWFuuRR1rOIwi","2025-08-12T11:52:21+0200","2025-08-12T12:02:01+0200","https://umfragen.tu-dortmund.de/index.php/surveyAdministration/view?surveyid=734375","E",1,"dbc1d144-1c2c-42f5-b63c-e84c446a9189","20 - 29","Männlich","","Bachelor",5,6,4,6,5,6,5,4,5,5,6,6,9,4,5,3,6,5,5,6,5,6,10,0,14,13,8,9
11,"2025-08-12T14:16:25+0200",4,"de","352369348","6aiuOrxHoRjWXvm","2025-08-12T14:08:21+0200","2025-08-12T14:16:25+0200","https://umfragen.tu-dortmund.de/index.php/surveyAdministration/view?surveyid=734375","B",2,"c452fa6e-d3a9-4756-ac68-f9349fb5e059","40 - 49","Männlich","","Mittlere Reife (Realschule)",7,5,6,6,6,6,6,5,6,6,6,7,9,6,9,10,10,10,10,5,10,10,15,0,5,5,5,15
